302,6,3,0,2023-03-18,2023-03-23,924.95
304,6,3,0,2023-06-17,2023-06-18,184.99
203,3,2,1,2023-02-05,2023-02-10,999.95
303,3,2,1,2023-07-28,2023-07-29,199.99
305,3,1,0,2023-08-30,2023-09-01,349.98
305,4,2,0,2023-02-22,2023-02-24,349.98
401,4,2,2,2023-11-22,2023-11-25,1199.97
304,8,2,0,2023-03-31,2023-04-05,874.95
206,12,2,0,2023-06-10,2023-06-14,599.96
208,12,1,0,2023-06-10,2023-06-14,599.96
201,5,2,2,2023-03-06,2023-03-07,199.99
203,5,2,2,2023-09-13,2023-09-15,399.98
308,2,1,0,2023-02-02,2023-02-04,299.98
208,2,2,0,2023-09-16,2023-09-17,149.99
206,2,2,0,2023-11-22,2023-11-25,449.97
301,2,2,2,2023-11-22,2023-11-25,599.97
401,11,2,4,2023-05-30,2023-06-02,1199.97
302,11,2,0,2023-12-24,2023-12-28,699.96
301,9,1,0,2023-04-09,2023-04-13,799.96
204,9,3,1,2023-07-13,2023-07-14,184.99
207,10,1,1,2023-04-23,2023-04-24,174.99
401,10,4,2,2023-07-18,2023-07-21,1259.97
307,1,1,1,2023-03-17,2023-03-20,524.97
205,1,2,0,2023-06-28,2023-07-02,699.96
202,7,2,2,2023-03-29,2023-03-31,349.98
